date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,life_expectancy,human_development_index
2020-08-21,0.0,-23.0,0.0,-15.0,-24.0,12.0,2780.0,63.0,69.571,11.0,0.0,0.429,209.392,4.745,5.24,0.8290000000000001,0.0,0.032,1.72,5700.0,357083.0,26.896,0.429,4740.0,0.35700000000000004,0.0147,68.1,samples tested,,,,,,,,,,,,,,75.93,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-08-22,0.0,0.0,0.0,-10.0,-6.0,8.0,2889.0,109.0,76.714,11.0,0.0,0.429,217.602,8.21,5.778,0.8290000000000001,0.0,0.032,1.77,4759.0,361842.0,27.254,0.358,4624.0,0.348,0.0166,60.3,samples tested,,,,,,,,,,,,,,75.93,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-08-23,0.0,0.0,0.0,-23.0,-10.0,9.0,3089.0,200.0,90.85700000000001,12.0,1.0,0.5710000000000001,232.666,15.064,6.843,0.904,0.075,0.043,1.79,6402.0,368244.0,27.736,0.48200000000000004,4853.0,0.366,0.0187,53.4,samples tested,,,,,,,,,,,,,,75.93,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-08-24,0.0,0.0,0.0,-11.0,-23.0,11.0,3306.0,217.0,109.429,14.0,2.0,0.857,249.011,16.345,8.242,1.054,0.151,0.065,1.71,3642.0,371886.0,28.011,0.27399999999999997,4800.0,0.36200000000000004,0.0228,43.9,samples tested,,,,,,,,,,,,,,75.93,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-08-25,0.0,0.0,0.0,-14.0,-24.0,11.0,3537.0,231.0,137.143,15.0,1.0,0.7140000000000001,266.41,17.399,10.33,1.13,0.075,0.054000000000000006,1.57,6128.0,378014.0,28.471999999999998,0.462,5057.0,0.381,0.0271,36.9,samples tested,,,,,,,,,,,,,,75.93,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-08-26,0.0,0.0,0.0,-12.0,-23.0,9.0,3625.0,88.0,140.143,15.0,0.0,0.7140000000000001,273.038,6.627999999999999,10.556,1.13,0.0,0.054000000000000006,1.38,5467.0,383481.0,28.884,0.41200000000000003,5366.0,0.40399999999999997,0.0261,38.3,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-08-27,0.0,-25.0,0.0,-22.0,-25.0,14.0,3672.0,47.0,136.429,15.0,0.0,0.5710000000000001,276.579,3.54,10.276,1.13,0.0,0.043,1.23,4597.0,388078.0,29.23,0.34600000000000003,5242.0,0.395,0.026000000000000002,38.4,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-08-28,0.0,-25.0,0.0,-26.0,-26.0,15.0,3742.0,70.0,137.429,16.0,1.0,0.7140000000000001,281.851,5.272,10.350999999999999,1.205,0.075,0.054000000000000006,1.12,5159.0,393237.0,29.619,0.389,5165.0,0.389,0.0266,37.6,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-08-29,0.0,0.0,0.0,-20.0,-9.0,11.0,3843.0,101.0,136.286,16.0,0.0,0.7140000000000001,289.45799999999997,7.607,10.265,1.205,0.0,0.054000000000000006,1.06,6163.0,399400.0,30.083000000000002,0.46399999999999997,5365.0,0.40399999999999997,0.0254,39.4,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-08-30,0.0,0.0,0.0,-35.0,-11.0,13.0,4020.0,177.0,133.0,16.0,0.0,0.5710000000000001,302.79,13.332,10.017999999999999,1.205,0.0,0.043,1.0,5544.0,404944.0,30.500999999999998,0.418,5243.0,0.395,0.0254,39.4,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-08-31,0.0,0.0,0.0,-26.0,-25.0,16.0,4063.0,43.0,108.14299999999999,16.0,0.0,0.28600000000000003,306.029,3.239,8.145,1.205,0.0,0.022000000000000002,0.89,4763.0,409707.0,30.86,0.359,5403.0,0.40700000000000003,0.02,50.0,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-01,0.0,0.0,0.0,-27.0,-26.0,15.0,4142.0,79.0,86.429,16.0,0.0,0.14300000000000002,311.97900000000004,5.95,6.51,1.205,0.0,0.011000000000000001,0.83,5622.0,415329.0,31.283,0.423,5331.0,0.402,0.0162,61.7,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-02,0.0,0.0,0.0,-24.0,-26.0,14.0,4218.0,76.0,84.714,17.0,1.0,0.28600000000000003,317.704,5.724,6.381,1.28,0.075,0.022000000000000002,0.77,5792.0,421121.0,31.719,0.436,5377.0,0.405,0.0158,63.5,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-03,0.0,-22.0,0.0,-26.0,-27.0,17.0,4255.0,37.0,83.286,18.0,1.0,0.429,320.491,2.787,6.273,1.3559999999999999,0.075,0.032,0.71,5079.0,426200.0,32.102,0.38299999999999995,5446.0,0.41,0.0153,65.4,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-04,0.0,-23.0,0.0,-29.0,-26.0,18.0,4304.0,49.0,80.286,18.0,0.0,0.28600000000000003,324.181,3.6910000000000003,6.047000000000001,1.3559999999999999,0.0,0.022000000000000002,0.65,5792.0,431992.0,32.538000000000004,0.436,5536.0,0.41700000000000004,0.0145,69.0,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-05,0.0,0.0,0.0,-25.0,-7.0,12.0,4349.0,45.0,72.286,18.0,0.0,0.28600000000000003,327.57099999999997,3.389,5.445,1.3559999999999999,0.0,0.022000000000000002,0.61,4420.0,436412.0,32.871,0.33299999999999996,5287.0,0.39799999999999996,0.0137,73.1,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-06,0.0,0.0,0.0,-37.0,-12.0,15.0,4374.0,25.0,50.571000000000005,19.0,1.0,0.429,329.454,1.883,3.8089999999999997,1.431,0.075,0.032,0.57,3481.0,439893.0,33.133,0.262,4993.0,0.376,0.0101,98.7,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-07,0.0,0.0,0.0,-29.0,-28.0,18.0,4409.0,35.0,49.428999999999995,19.0,0.0,0.429,332.09,2.636,3.7230000000000003,1.431,0.0,0.032,0.56,4457.0,444350.0,33.469,0.336,4949.0,0.373,0.01,100.1,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-08,0.0,0.0,0.0,-27.0,-25.0,16.0,4439.0,30.0,42.428999999999995,20.0,1.0,0.5710000000000001,334.35,2.26,3.196,1.506,0.075,0.043,0.55,3253.0,447603.0,33.714,0.245,4611.0,0.34700000000000003,0.0092,108.7,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-09,0.0,0.0,0.0,-22.0,-24.0,16.0,4460.0,21.0,34.571,21.0,1.0,0.5710000000000001,335.931,1.5819999999999999,2.6039999999999996,1.5819999999999999,0.075,0.043,0.55,3805.0,451408.0,34.0,0.287,4327.0,0.326,0.008,125.2,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-10,0.0,-20.0,0.0,-22.0,-25.0,18.0,4479.0,19.0,32.0,22.0,1.0,0.5710000000000001,337.36300000000006,1.431,2.41,1.6569999999999998,0.075,0.043,0.57,2838.0,454246.0,34.214,0.214,4007.0,0.302,0.008,125.2,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-11,3.0,-18.0,13.0,-24.0,-23.0,17.0,4534.0,55.0,32.857,22.0,0.0,0.5710000000000001,341.505,4.143,2.475,1.6569999999999998,0.0,0.043,0.59,3027.0,457273.0,34.442,0.228,3612.0,0.272,0.0091,109.9,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-12,8.0,-12.0,15.0,-21.0,-6.0,12.0,4565.0,31.0,30.857,22.0,0.0,0.5710000000000001,343.84,2.335,2.324,1.6569999999999998,0.0,0.043,0.57,2901.0,460174.0,34.661,0.21899999999999997,3395.0,0.256,0.0091,110.0,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-13,-4.0,-25.0,9.0,-35.0,-14.0,15.0,4591.0,26.0,31.0,22.0,0.0,0.429,345.79900000000004,1.9580000000000002,2.335,1.6569999999999998,0.0,0.032,0.54,2722.0,462896.0,34.866,0.205,3286.0,0.248,0.0094,106.0,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-14,7.0,-15.0,20.0,-24.0,-19.0,17.0,4602.0,11.0,27.570999999999998,22.0,0.0,0.429,346.62699999999995,0.8290000000000001,2.077,1.6569999999999998,0.0,0.032,0.53,1687.0,464583.0,34.993,0.127,2890.0,0.218,0.0095,104.8,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-15,7.0,-15.0,20.0,-22.0,-20.0,16.0,4624.0,22.0,26.429000000000002,22.0,0.0,0.28600000000000003,348.284,1.6569999999999998,1.9909999999999999,1.6569999999999998,0.0,0.022000000000000002,0.54,1935.0,466518.0,35.139,0.146,2702.0,0.204,0.0098,102.2,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-16,6.0,-17.0,17.0,-22.0,-21.0,16.0,4634.0,10.0,24.857,22.0,0.0,0.14300000000000002,349.037,0.753,1.8719999999999999,1.6569999999999998,0.0,0.011000000000000001,0.54,1603.0,468121.0,35.259,0.121,2388.0,0.18,0.0104,96.1,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-17,5.0,-20.0,10.0,-23.0,-22.0,17.0,4653.0,19.0,24.857,23.0,1.0,0.14300000000000002,350.468,1.431,1.8719999999999999,1.732,0.075,0.011000000000000001,0.57,2097.0,470218.0,35.417,0.158,2282.0,0.172,0.0109,91.8,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-18,1.0,-22.0,11.0,-28.0,-20.0,18.0,4671.0,18.0,19.570999999999998,25.0,2.0,0.429,351.824,1.3559999999999999,1.474,1.883,0.151,0.032,0.59,1549.0,471767.0,35.534,0.11699999999999999,2071.0,0.156,0.0095,105.8,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-19,8.0,-11.0,16.0,-22.0,-4.0,14.0,4689.0,18.0,17.714000000000002,26.0,1.0,0.5710000000000001,353.18,1.3559999999999999,1.334,1.9580000000000002,0.075,0.043,0.61,2272.0,474039.0,35.705,0.171,1981.0,0.149,0.0089,111.8,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-20,-5.0,-24.0,5.0,-34.0,-12.0,16.0,4711.0,22.0,17.143,26.0,0.0,0.5710000000000001,354.837,1.6569999999999998,1.291,1.9580000000000002,0.0,0.043,0.62,1892.0,475931.0,35.848,0.14300000000000002,1862.0,0.14,0.0092,108.6,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-21,6.0,-18.0,21.0,-27.0,-21.0,17.0,4722.0,11.0,17.143,27.0,1.0,0.7140000000000001,355.666,0.8290000000000001,1.291,2.0340000000000003,0.075,0.054000000000000006,0.63,1448.0,477379.0,35.957,0.109,1828.0,0.138,0.0094,106.6,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-22,-1.0,-18.0,19.0,-29.0,-23.0,18.0,4738.0,16.0,16.285999999999998,27.0,0.0,0.7140000000000001,356.871,1.205,1.227,2.0340000000000003,0.0,0.054000000000000006,0.66,1631.0,479010.0,36.079,0.12300000000000001,1785.0,0.134,0.0091,109.6,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-23,-1.0,-18.0,12.0,-25.0,-23.0,17.0,4779.0,41.0,20.714000000000002,27.0,0.0,0.7140000000000001,359.959,3.088,1.56,2.0340000000000003,0.0,0.054000000000000006,0.68,2273.0,481283.0,36.251,0.171,1880.0,0.142,0.011000000000000001,90.8,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-24,-3.0,-19.0,5.0,-26.0,-23.0,18.0,4789.0,10.0,19.429000000000002,27.0,0.0,0.5710000000000001,360.712,0.753,1.463,2.0340000000000003,0.0,0.043,0.64,2158.0,483441.0,36.413000000000004,0.163,1889.0,0.142,0.0103,97.2,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-25,-5.0,-20.0,6.0,-29.0,-22.0,21.0,4798.0,9.0,18.143,29.0,2.0,0.5710000000000001,361.39,0.6779999999999999,1.367,2.184,0.151,0.043,0.59,1400.0,484841.0,36.519,0.105,1868.0,0.141,0.0097,103.0,samples tested,,,,,,,,,,,,,,73.15,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-26,5.0,-9.0,12.0,-17.0,-5.0,14.0,4811.0,13.0,17.429000000000002,29.0,0.0,0.429,362.369,0.9790000000000001,1.3130000000000002,2.184,0.0,0.032,0.57,1894.0,486735.0,36.661,0.14300000000000002,1814.0,0.13699999999999998,0.0096,104.1,samples tested,,,,,,,,,,,,,,73.15,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-27,-11.0,-24.0,7.0,-31.0,-18.0,18.0,4820.0,9.0,15.571,29.0,0.0,0.429,363.04699999999997,0.6779999999999999,1.173,2.184,0.0,0.032,0.54,2207.0,488942.0,36.828,0.166,1859.0,0.14,0.0084,119.4,samples tested,,,,,,,,,,,,,,73.15,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-28,5.0,-12.0,15.0,-19.0,-20.0,17.0,4832.0,12.0,15.714,29.0,0.0,0.28600000000000003,363.95099999999996,0.904,1.1840000000000002,2.184,0.0,0.022000000000000002,0.52,1283.0,490225.0,36.924,0.09699999999999999,1835.0,0.138,0.0086,116.8,samples tested,,,,,,,,,,,,,,73.15,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-29,2.0,-14.0,10.0,-20.0,-22.0,16.0,4836.0,4.0,14.0,29.0,0.0,0.28600000000000003,364.25199999999995,0.301,1.054,2.184,0.0,0.022000000000000002,0.49,2761.0,492986.0,37.132,0.20800000000000002,1997.0,0.15,0.006999999999999999,142.6,samples tested,,,,,,,,,,,,,,73.15,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-09-30,5.0,-11.0,1.0,-16.0,-24.0,11.0,4840.0,4.0,8.714,29.0,0.0,0.28600000000000003,364.55300000000005,0.301,0.6559999999999999,2.184,0.0,0.022000000000000002,0.47,2807.0,495793.0,37.344,0.21100000000000002,2073.0,0.156,0.0042,237.9,samples tested,,,,,,,,,,,,,,73.15,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-10-01,-2.0,-19.0,-15.0,-19.0,-26.0,10.0,4843.0,3.0,7.7139999999999995,29.0,0.0,0.28600000000000003,364.779,0.226,0.581,2.184,0.0,0.022000000000000002,0.5,2583.0,498376.0,37.538000000000004,0.195,2134.0,0.161,0.0036,276.6,samples tested,,,,,,,,,,,,,,73.15,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-10-02,-3.0,-15.0,-12.0,-22.0,-24.0,8.0,4847.0,4.0,7.0,29.0,0.0,0.0,365.08099999999996,0.301,0.527,2.184,0.0,0.0,0.53,1873.0,500249.0,37.679,0.141,2201.0,0.166,0.0032,314.4,samples tested,,,,,,,,,,,,,,73.15,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-10-03,3.0,-7.0,-8.0,-16.0,-12.0,4.0,4852.0,5.0,5.857,29.0,0.0,0.0,365.457,0.377,0.441,2.184,0.0,0.0,0.58,2568.0,502817.0,37.873000000000005,0.193,2297.0,0.17300000000000001,0.0025,392.2,samples tested,,,,,,,,,,,,,,73.15,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-10-04,-10.0,-19.0,-15.0,-27.0,-26.0,8.0,4866.0,14.0,6.571000000000001,29.0,0.0,0.0,366.51199999999994,1.054,0.495,2.184,0.0,0.0,0.63,1853.0,504670.0,38.012,0.14,2247.0,0.16899999999999998,0.0029,342.0,samples tested,,,,,,,,,,,,,,73.15,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-10-05,2.0,-10.0,-8.0,-19.0,-24.0,7.0,4867.0,1.0,5.0,29.0,0.0,0.0,366.587,0.075,0.377,2.184,0.0,0.0,0.63,1988.0,506658.0,38.162,0.15,2348.0,0.177,0.0021,469.6,samples tested,,,,,,,,,,,,,,73.15,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-10-06,2.0,-13.0,-6.0,-23.0,-25.0,7.0,4873.0,6.0,5.2860000000000005,29.0,0.0,0.0,367.039,0.452,0.39799999999999996,2.184,0.0,0.0,0.68,1306.0,507964.0,38.26,0.098,2140.0,0.161,0.0025,404.8,samples tested,,,,,,,,,,,,,,73.15,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-10-07,3.0,-15.0,-4.0,-15.0,-21.0,8.0,4883.0,10.0,6.143,29.0,0.0,0.0,367.792,0.753,0.46299999999999997,2.184,0.0,0.0,0.7,3219.0,511183.0,38.503,0.242,2199.0,0.166,0.0028,358.0,samples tested,,,,,,,,,,,,,,73.15,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-10-08,0.0,-15.0,-5.0,-18.0,-21.0,12.0,4885.0,2.0,6.0,29.0,0.0,0.0,367.94300000000004,0.151,0.452,2.184,0.0,0.0,0.75,1935.0,513118.0,38.649,0.146,2106.0,0.159,0.0028,351.0,samples tested,,,,,,,,,,,,,,73.15,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-10-09,0.0,-15.0,-1.0,-20.0,-20.0,13.0,4890.0,5.0,6.143,30.0,1.0,0.14300000000000002,368.319,0.377,0.46299999999999997,2.26,0.075,0.011000000000000001,0.8,963.0,514081.0,38.721,0.073,1976.0,0.149,0.0031,321.7,samples tested,,,,,,,,,,,,,,73.15,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-10-10,6.0,-5.0,0.0,-14.0,-8.0,9.0,4892.0,2.0,5.7139999999999995,30.0,0.0,0.14300000000000002,368.47,0.151,0.43,2.26,0.0,0.011000000000000001,0.88,2668.0,516749.0,38.922,0.201,1990.0,0.15,0.0029,348.3,samples tested,,,,,,,,,,,,,,73.15,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-10-11,-10.0,-21.0,-8.0,-22.0,-18.0,12.0,4896.0,4.0,4.2860000000000005,31.0,1.0,0.28600000000000003,368.77099999999996,0.301,0.32299999999999995,2.335,0.075,0.022000000000000002,0.99,2239.0,518988.0,39.091,0.16899999999999998,2045.0,0.154,0.0021,477.1,samples tested,,,,,,,,,,,,,,73.15,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-10-12,3.0,-10.0,1.0,-17.0,-20.0,13.0,4905.0,9.0,5.428999999999999,32.0,1.0,0.429,369.449,0.6779999999999999,0.409,2.41,0.075,0.032,1.13,2149.0,521137.0,39.253,0.162,2068.0,0.156,0.0026,380.9,samples tested,,,,,,,,,,,,,,69.44,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-10-13,1.0,-13.0,-5.0,-18.0,-21.0,12.0,4908.0,3.0,5.0,32.0,0.0,0.429,369.675,0.226,0.377,2.41,0.0,0.032,1.27,,,,,2154.0,0.162,0.0023,430.8,samples tested,,,,,,,,,,,,,,63.89,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-10-14,5.0,-12.0,-1.0,-13.0,-19.0,11.0,4940.0,32.0,8.142999999999999,33.0,1.0,0.5710000000000001,372.086,2.41,0.613,2.4859999999999998,0.075,0.043,1.43,,,,,1966.0,0.14800000000000002,0.0041,241.4,samples tested,,,,,,,,,,,,,,63.89,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-10-15,2.0,-13.0,-2.0,-11.0,-20.0,14.0,4953.0,13.0,9.714,33.0,0.0,0.5710000000000001,373.065,0.9790000000000001,0.732,2.4859999999999998,0.0,0.043,1.37,,526854.0,39.683,,1962.0,0.14800000000000002,0.005,202.0,samples tested,,,,,,,,,,,,,,63.89,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-10-16,0.0,-11.0,1.0,-12.0,-18.0,14.0,4965.0,12.0,10.714,34.0,1.0,0.5710000000000001,373.969,0.904,0.807,2.5610000000000004,0.075,0.043,1.28,3450.0,530304.0,39.943000000000005,0.26,2318.0,0.175,0.0046,216.4,samples tested,,,,,,,,,,,,,,63.89,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-10-17,3.0,-5.0,-3.0,-10.0,-7.0,11.0,4971.0,6.0,11.286,34.0,0.0,0.5710000000000001,374.42,0.452,0.85,2.5610000000000004,0.0,0.043,1.22,2224.0,532528.0,40.111,0.168,2254.0,0.17,0.005,199.7,samples tested,,,,,,,,,,,,,,63.89,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
